player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Mukesh Kumar,India,29,BOWLER,20,550.0,DC,Uncapped,2023,27.5,False
Shivam Mavi,India,24,BOWLER,40,600.0,GT,Uncapped,2023,15.0,False
Lance Morris,Australia,25,BOWLER,30,0.0,UnSold,Uncapped,2023,0.0,True
Yash Thakur,India,24,BOWLER,20,45.0,LSG,Uncapped,2023,2.25,False
Mujtaba Yousuf,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Murugan Ashwin,India,32,BOWLER,20,20.0,RR,Uncapped,2023,1.0,False
Chintal Gandhi,India,28,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shreyas Gopal,India,29,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
S Midhun,India,28,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Izharulhuq Naveed,Afghanistan,19,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Himanshu Sharma,India,24,BOWLER,20,20.0,RCB,Uncapped,2023,1.0,False
Travis Head,Australia,29,BATSMAN,200,0.0,UnSold,Capped,2023,0.0,True
Will Jacks,England,24,BATSMAN,150,320.0,RCB,Capped,2023,2.1333333333333333,True
Dawid Malan,England,35,BATSMAN,150,0.0,UnSold,Capped,2023,0.0,True
Manish Pandey,India,33,BATSMAN,100,240.0,DC,Capped,2023,2.4,False
Sherfane Rutherford,West Indies,24,BATSMAN,150,0.0,UnSold,Capped,2023,0.0,True
Mandeep Singh,India,31,BATSMAN,50,50.0,KKR,Capped,2023,1.0,False
Paul Stirling,Ireland,32,BATSMAN,50,0.0,UnSold,Capped,2023,0.0,True
Rassie Van Der Dussen,South Africa,34,BATSMAN,200,0.0,UnSold,Capped,2023,0.0,True
Daryl Mitchell,New Zealand,31,ALL-ROUNDER,100,0.0,UnSold,Capped,2023,0.0,True
Mohammad Nabi,Afghanistan,38,ALL-ROUNDER,100,0.0,UnSold,Capped,2023,0.0,True
Jimmy Neesham,New Zealand,32,ALL-ROUNDER,200,0.0,UnSold,Capped,2023,0.0,True
Wayne Parnell,South Africa,33,ALL-ROUNDER,75,0.0,UnSold,Capped,2023,0.0,True
Daniel Sams,Australia,30,ALL-ROUNDER,75,75.0,LSG,Capped,2023,1.0,True
Dasun Shanaka,Sri Lanka,31,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Romario Shepherd,West Indies,28,ALL-ROUNDER,50,50.0,LSG,Capped,2023,1.0,True
Taskin Ahmed,Bangladesh,28,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Dushmanta Chameera,Sri Lanka,31,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Kyle Jamieson,New Zealand,28,BOWLER,100,100.0,CSK,Capped,2023,1.0,True
Riley Meredith,Australia,26,BOWLER,150,0.0,UnSold,Capped,2023,0.0,True
Blessing Muzarabani,Zimbabwe,26,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Sandeep Sharma,India,29,BOWLER,50,0.0,UnSold,Capped,2023,0.0,False
Johnson Charles,West Indies,34,WICKETKEEPER,50,0.0,UnSold,Capped,2023,0.0,True
Andre Fletcher,West Indies,35,WICKETKEEPER,50,0.0,UnSold,Capped,2023,0.0,True
Shai Hope,West Indies,29,WICKETKEEPER,100,0.0,UnSold,Capped,2023,0.0,True
Tom Latham,New Zealand,31,WICKETKEEPER,100,0.0,UnSold,Capped,2023,0.0,True
